TEC,theta,rho,enabled
1,0,0.43871,1
2,-1.04720285700579,0.438704031665997,1
3,-2.094389796584,0.438704031665997,1
4,3.14159265358979,0.43871,1
5,2.094389796584,0.438704031665997,1
6,1.04720285700579,0.438704031665997,1
7,-0.261807864983645,0.43870963073541,1
8,0.261807864983645,0.43870963073541,1
9,-1.30898846181125,0.43870963073541,1
10,1.30898846181125,0.43870963073541,1
11,-2.35619449019234,0.438703189183758,1
12,2.35619449019234,0.438703189183758,1
13,2.87879426983488,0.438826318262704,1
14,-2.87978478860615,0.43870963073541,1
15,1.83260419177854,0.43870963073541,1
16,-1.83260419177854,0.43870963073541,1
17,0.785398163397448,0.438703189183758,1
18,-0.785398163397448,0.438703189183758,1
19,-0.523513701106767,0.438764655025903,1
20,-1.5707963267949,0.43871,1
21,-2.61799918380069,0.438704031665997,1
22,2.61799918380069,0.438704031665997,1
23,1.5707963267949,0.43871,1
24,0.523593469789108,0.438704031665997,1
